id,event_type,event_cause,start_datetime,latitude,longitude,corridor,zone,junction,priority,requires_road_closure,hour,day_of_week,month,is_weekend,duration_hours,duration_known,duration_bucket,is_high_priority,road_closure,severity_score,severity_label,police_station,veh_type
FKID005689,unplanned,accident,2024-01-16 23:18:15.118206+00:00,12.91861725,77.58946,Non-corridor,South Zone 1,,Low,False,23,1,1,0,0.9849430005555555,0,short,0,0,0,Low,Jayanagara,
FKID005730,unplanned,accident,2024-01-16 23:18:15.118206+00:00,12.91861725,77.58946,Non-corridor,South Zone 1,,Low,False,23,1,1,0,0.9849430005555555,0,short,0,0,0,Low,Jayanagara,
FKID005720,unplanned,accident,2024-01-16 23:18:15.118206+00:00,12.91861725,77.58946,Non-corridor,South Zone 1,,Low,False,23,1,1,0,0.9849430005555555,0,short,0,0,0,Low,Jayanagara,
FKID005011,unplanned,tree_fall,2024-01-25 10:14:44.434000+00:00,13.0132709,77.6484194,Non-corridor,,,Low,True,10,3,1,0,10.582444026944446,1,medium,0,1,60,Medium,Banaswadi,
FKID002830,unplanned,tree_fall,2024-03-07 06:44:26.696000+00:00,12.977505,77.6408917,IRR(Thanisandra road),,,High,False,6,3,3,0,0.9849430005555555,0,short,1,0,25,Low,Jeevanbheemanagar,
FKID003521,unplanned,tree_fall,2024-04-02 01:09:09.285000+00:00,12.9743175,77.6411225,IRR(Thanisandra road),,,High,False,1,1,4,0,0.9849430005555555,0,short,1,0,25,Low,Jeevanbheemanagar,
FKID000582,unplanned,vehiclebreakdown,2024-03-10 01:03:49.259000+00:00,13.0396997,77.5182903,Tumkur Road,,,High,False,1,6,3,1,0.19018823083333333,1,short,1,0,25,Low,Peenya,bmtc_bus
FKID007393,unplanned,vehiclebreakdown,2024-01-01 03:50:05.862000+00:00,13.0397251,77.5183633,Tumkur Road,West Zone 1,JalahalliCross(SM Circle),High,False,3,0,1,0,1.3340478861111111,1,medium,1,0,25,Low,Peenya,bmtc_bus
FKID002553,unplanned,vehiclebreakdown,2024-03-05 20:07:08.276000+00:00,13.0389266,77.5181671,Tumkur Road,,,High,False,20,1,3,0,0.16992970444444444,1,short,1,0,25,Low,Peenya,bmtc_bus
FKID002618,unplanned,waterlogging,2024-03-06 06:18:15.984000+00:00,13.0392365,77.5181492,Tumkur Road,,,High,False,6,2,3,0,1.2142323194444444,1,medium,1,0,25,Low,Peenya,
FKID005971,unplanned,vehiclebreakdown,2023-11-16 08:15:03.515000+00:00,13.0391896,77.5181172,Tumkur Road,West Zone 1,JalahalliCross(SM Circle),High,False,8,3,11,0,0.9849430005555555,0,short,1,0,25,Low,Peenya,lcv
FKID000867,unplanned,vehiclebreakdown,2024-02-10 04:53:08.991000+00:00,13.0210592,77.5282216,Non-corridor,,,Low,False,4,5,2,1,0.9849430005555555,0,short,0,0,0,Low,Yeshwanthpura,lcv
FKID001965,planned,construction,2024-02-25 05:46:50.367000+00:00,13.0208989,77.5283508,Non-corridor,,,Low,True,5,6,2,1,0.9849430005555555,0,short,0,1,40,Medium,Rajajinagar,
FKID002198,unplanned,vehiclebreakdown,2024-02-29 01:44:23.883000+00:00,13.0209048,77.5286592,Non-corridor,,,Low,False,1,3,2,0,0.9849430005555555,0,short,0,0,0,Low,Rajajinagar,private_car
FKID004408,unplanned,potholes,2024-01-20 05:39:34.296000+00:00,13.021037,77.5281404,Non-corridor,,,Low,False,5,5,1,1,1272.5082156022222,1,extended,0,0,20,Low,Rajajinagar,
FKID004409,unplanned,potholes,2024-01-20 05:40:34.364000+00:00,13.0210666,77.5281911,Non-corridor,,,Low,False,5,5,1,1,0.9849430005555555,0,short,0,0,0,Low,Yeshwanthpura,
FKID005906,unplanned,potholes,2023-11-14 21:55:32.969000+00:00,13.0210057,77.5285332,Non-corridor,West Zone 1,FTI Junction(KanteeravaStudio),Low,False,21,1,11,0,0.9849430005555555,0,short,0,0,0,Low,Yeshwanthpura,
FKID007230,unplanned,vehiclebreakdown,2023-12-26 20:20:09.127000+00:00,13.021064,77.528271,Non-corridor,West Zone 1,FTI Junction(KanteeravaStudio),Low,True,20,1,12,0,0.9849430005555555,0,short,0,1,40,Medium,Yeshwanthpura,heavy_vehicle
FKID007146,unplanned,vehiclebreakdown,2023-12-23 03:52:25.456000+00:00,12.97820738,77.6407515,IRR(Thanisandra road),Central Zone 1,BM ShriJunc(CMH-100FtRd)Junc,High,False,3,5,12,1,0.9849430005555555,0,short,1,0,25,Low,Jeevanbheemanagar,heavy_vehicle
FKID000613,unplanned,potholes,2024-03-10 03:55:18.732000+00:00,12.9839284,77.6405645,Old Madras Road,,,High,False,3,6,3,1,0.9849430005555555,0,short,1,0,25,Low,Jeevanbheemanagar,
FKID002627,unplanned,vehiclebreakdown,2024-03-22 23:28:16.150000+00:00,12.9837217,77.6404533,Old Madras Road,,,High,False,23,4,3,0,1.3058044291666668,1,medium,1,0,25,Low,Jeevanbheemanagar,bmtc_bus
FKID007620,unplanned,vehiclebreakdown,2024-01-09 07:14:23.964000+00:00,12.9833718,77.6405569,Old Madras Road,Central Zone 1,OldMadrasRd-Indranagar100ftRdJunc,High,False,7,1,1,0,0.3083850080555555,1,short,1,0,25,Low,Jeevanbheemanagar,others
